Year,represented_country_cham,Champion,represented_country_runn,Runner-Up,represented_country_thir,3rd Place
1965,United States,Larry Scott,United States,Harold Poole,Barbados,Earl Maynard
1966,United States,Larry Scott,United States,Harold Poole,United States,Chuck Sipes
1967,Cuba,Sergio Oliva,United States,Chuck Sipes,United States,Harold Poole
1968,Cuba,Sergio Oliva,,,,
1969,Cuba,Sergio Oliva,Austria,Arnold Schwarzenegger,,
1970,Austria,Arnold Schwarzenegger,Cuba,Sergio Oliva,United States,Reg Lewis
1971,Austria,Arnold Schwarzenegger,,,,
1972,Austria,Arnold Schwarzenegger,Cuba,Sergio Oliva,France,Serge Nubret
1973,Austria,Arnold Schwarzenegger,Italy,Franco Columbu,France,Serge Nubret
1974,Austria,Arnold Schwarzenegger,Italy,Franco Columbu,United States,Lou Ferrigno &  Frank Zane
1975,Austria,Arnold Schwarzenegger,Italy,Franco Columbu,France,Serge Nubret &  Ed Corney
1976,Italy,Franco Columbu,United States,Ken Waller,United States,Mike Katz &  Frank Zane
1977,United States,Frank Zane,United States,Ed Corney,United States,Robby Robinson
1978,United States,Frank Zane,United States,Robby Robinson,Barbados,Roy Callender
1979,United States,Frank Zane,United States,Mike Mentzer,United States,Dennis Tinerino &  Boyer Coe
1980,Austria,Arnold Schwarzenegger,United States,Chris Dickerson,United States,Frank Zane
1981,Italy,Franco Columbu,United States,Chris Dickerson,United States,Tom Platz
1982,United States,Chris Dickerson,United States,Frank Zane,United States,Casey Viator
1983,Lebanon,Samir Bannout,Egypt,Mohamed Makkawy,United States,Lee Haney
1984,United States,Lee Haney,Egypt,Mohamed Makkawy,Germany,Jusup Wilkosz
1985,United States,Lee Haney,Barbados,Albert Beckles,United States,Rich Gaspari
1986,United States,Lee Haney,United States,Rich Gaspari,United States,Mike Christian
1987,United States,Lee Haney,United States,Rich Gaspari,United States,Lee Labrada
1988,United States,Lee Haney,United States,Rich Gaspari,Netherlands,Berry DeMey
1989,United States,Lee Haney,United States,Lee Labrada,United States,Vince Taylor
1990,United States,Lee Haney,United States,Lee Labrada,United States,Shawn Ray
1991,United States,Lee Haney,United Kingdom,Dorian Yates,United States,Vince Taylor
1992,United Kingdom,Dorian Yates,United States,Kevin Levrone,United States,Lee Labrada
1993,United Kingdom,Dorian Yates,United States,Flex Wheeler,United States,Shawn Ray
1994,United Kingdom,Dorian Yates,United States,Shawn Ray,United States,Kevin Levrone
1995,United Kingdom,Dorian Yates,United States,Kevin Levrone,Federal Republic of Yugoslavia,Nasser El Sonbaty
1996,United Kingdom,Dorian Yates,United States,Shawn Ray,United States,Kevin Levrone
1997,United Kingdom,Dorian Yates,Federal Republic of Yugoslavia,Nasser El Sonbaty,United States,Shawn Ray
1998,United States,Ronnie Coleman,United States,Flex Wheeler,Federal Republic of Yugoslavia,Nasser El Sonbaty
1999,United States,Ronnie Coleman,United States,Flex Wheeler,United States,Chris Cormier
2000,United States,Ronnie Coleman,United States,Kevin Levrone,United States,Flex Wheeler
2001,United States,Ronnie Coleman,United States,Jay Cutler,United States,Kevin Levrone
2002,United States,Ronnie Coleman,United States,Kevin Levrone,United States,Chris Cormier
2003,United States,Ronnie Coleman,United States,Jay Cutler,United States,Dexter Jackson
2004,United States,Ronnie Coleman,United States,Jay Cutler,Venezuela,Gustavo Badell
2005,United States,Ronnie Coleman,United States,Jay Cutler,Venezuela,Gustavo Badell
2006,United States,Jay Cutler,United States,Ronnie Coleman,Dominican Republic,Víctor Martínez
2007,United States,Jay Cutler,Dominican Republic,Víctor Martínez,United States,Dexter Jackson
2008,United States,Dexter Jackson,United States,Jay Cutler,United States,Phil Heath
2009,United States,Jay Cutler,United States,Branch Warren,United States,Dexter Jackson
2010,United States,Jay Cutler,United States,Phil Heath,United States,Branch Warren
2011,United States,Phil Heath,United States,Jay Cutler,United States,Kai Greene
2012,United States,Phil Heath,United States,Kai Greene,Jamaica,Shawn Rhoden
2013,United States,Phil Heath,United States,Kai Greene,Germany,Dennis Wolf
2014,United States,Phil Heath,United States,Kai Greene,Jamaica,Shawn Rhoden
2015,United States,Phil Heath,United States,Dexter Jackson,Jamaica,Shawn Rhoden
2016,United States,Phil Heath,Jamaica,Shawn Rhoden,United States,Dexter Jackson
2017,United States,Phil Heath,Egypt,Mamdouh Elssbiay,Netherlands,William Bonac
2018,Jamaica,Shawn Rhoden,United States,Phil Heath,Curaçao,Roelly Winklaar
2019,United States,Brandon Curry,Netherlands,William Bonac,Iran,Hadi Choopan
2020,Egypt,Mamdouh Elssbiay,United States,Brandon Curry,United States,Phil Heath
2021,Egypt,Mamdouh Elssbiay,United States,Brandon Curry,Iran,Hadi Choopan
2022,Iran,Hadi Choopan,United States,Derek Lunsford,United States,Nick Walker
